,id_tei,lcnaf_uri,organization_name,other_names,date_founded,date_dissolved,associated_places,org_type,bio_notes,data_notes,see_also,citations,notes
,aberm,,Aberdeen Friends meeting ,,1672,,"Aberdeen, Scotland",Local meeting,"Friends in Aberdeen, Scotland, met for worship in hired houses until 1672 when a visiting minister recorded his presence in the ""new meeting house."" Aberdeen became a monthly meeting in 1786.","Monthly, preparative, and worship meetings should are keyed as ""meetings"" because it can be difficult to differentiate in the journals. When the reference is to the building only, not the people who worshipped or held business there, it can be searched as a place, i.e. ""we passed the meeting house at Richland."".",lym,"The Quaker Meeting Houses of Britain, Vol.2, by David M. Butler (1999)",origin date is approximate
,meetabing,http://id.loc.gov/authorities/names/n91034982,Abington Friends meeting,,1683,,"Abington, Montgomery County, Pennsylvania",Local meeting,"Abington is located in Montgomery County, Pennsylvania. The monthly meeting which was eventually called Abington was founded in 1683 and met in the meeting house at Oxford.",,pym,http://trilogy.brynmawr.edu/speccoll/mm/abingmm.xml,
,abingqm,,Abington Quarterly Meeting of Friends,,1786,,,Quarterly Meeting,Abington Quarterly Meeting of Friends was established in 1786 by Philadelphia Yearly Meeting out of a division of Philadelphia Quarterly Meeting of Friends. ,,pym,http://trilogy.brynmawr.edu/speccoll/mm/abingqm.xml,
,meetalex,,Alexandria Friends meeting,,1783,,,Local meeting,"Quakers met at Alexandria as early as 1783, but a meeting for worship wasn't established there until 1788. Alexandria Monthly Meeting was set off from Fairfax Monthly Meeting in 1794. The Monthly Meeting also included Washington Preparative Meeting after 1817 and Woodlawn Indulged after 1849.",,bym,https://quakermeetings.com/Plone/meeting_view?anID=1933,
,algonquin,http://id.loc.gov/authorities/subjects/sh85003482,Algonquin indians,,,,Quebec,Indian group,"A superordinate category of linguistic and cultural similarities shared by many distinct tribes in Northern America, and one of the most extensive North American Indian language groups. Its speakers could be found between the Atlantic Ocean and the Rocky Mountains, as well as below Hudson Bay, onto the shores of the Great Lakes, and along the St. Lawrence River. Most were concentrated in New England, where they traditionally allied with the French in colonial entanglements. Algonquin society was primarily hunting-based. ",,abenaki;brotherton,http://www.accessgenealogy.com/native/algonquian-indians.htm;https://en.wikipedia.org/wiki/Algonquin_people,
,allegany,,Allegany indians,Alleghany Indians,,,,Indian group,"The group that resided on a reservation in southeastern New York on the banks of the Allegheny River, now part of the Seneca Nation. It was established by the Canandaigua Treaty in 1794, and guaranteed again by the Buffalo Creek Treaty (1842) between the Haudenosaunee and the US government, after having been temporarily sold four years earlier. Abutted the Cornplanter tract to the south. Along with the Cattaraugus Seneca, the Allegany established a government modeled on the United States in 1848, whereas the Tonawanda--who had never signed a treaty--retained the traditional chief system.",,seneca;sxntns,Encyclopedia of the Haudenosaunee;Handbook of the North American Indians,
,amamm,,Amawalk Friends meeting,,1774,,,Local meeting,"Amawalk was established as a preparative meeting in 1774 in Westchester County, New York, under Purchase Monthly Meeting and then continued under Chappaqua Monthly Meeting until it was set aff as a monthly meeting in its own right in 1785.",,nyym,https://quakermeetings.com,
,ambib,,American Bible Society,,1816,,,Religious group,"Established in 1816, the American Bible Society was a mostly non-denominational Christian organization that translated and distributed Bibles to groups that lacked easy access to them, such as small towns, soldiers, and foreign peoples. Elias Boudinot and John Jay were among its early presidents. In 1818, the Society translated the three Epistles of John into the Delaware Indian language.",,presby,http://www.americanbible.org/about/history;https://en.wikipedia.org/wiki/American_Bible_Society,
,meetapoqu,,Apoquague Friends meeting,Poquaque Friends Meeting,1803,,,Local meeting,"Apoquague Friends' meeting was in Dutchess County, New York. Poughquaig Preparative Meeting was established in 1803 under Oswego Monthly Meeting. ",,nyym,quakermeetings.com,
,meetbalt,,Baltimore Friends meeting,,1679,,,Local meeting,"Friends worshipped at Patapsco (Aisquith) in Maryland as early as 1679, but a preparative meeting wasn't established until 1714 under Indian Spring and West River. It was then under the care of Gunpowder Monthly Meeting until Baltimore was set off as a monthly meeting of its own in 1807.",,bym,https://quakermeetings.com,
