done_or_not,id_tei,lcnaf_uri,last_name,first_name,middle_name,display_name,other_names,birth_date,death_date,birth_place,death_place,gender,affiliations,bio_notes,data_notes,citations,notes,PYM index,Possible Duplication or other correction needed
done,jabbo1,,Abbott,James,,James Abbott Sr.,James Abbotts;James Abbot,1744,1800,dubli,detro,m,review,"James Abbott Sr., born in Dublin in 1744. he came to America about the year 1770 found his way to Detroit. He quickly prospered and when the Revolution opened he had already become a leading merchant. In or prior to 1770 he married Mary Barkle of Schenectady. Successful in business, a leading citizen of Detroit. In 1789 he associated his eldest son Robert, under the firm name of James Abbott and Son. In 1798 James II was admitted to the firm, which now became James Abbott and Sons. The father died early in 1800 and the two sons continued the business until about 1810. ",Birth date is also given in some sources as 1725 but the birth of his children in the 1770s suggests that the 1744 date is more accurate.,"http://www.geni.com/people/James-Abbott/6000000011881689901; ""The Bulletin"" published by The Detroit Historical Society in 1926, Burton Archives",,,
done,habee1,,Abeel,Henry,,Henry Abeel,Henry O'Beal;Henry O'Bail;Henry O'Beil;Henry O'Neal;Henry Cornplanter,1778,1832,canaw,tonawanda,m,seneca;allegany,"The son of Cornplanter and nephew of Handsome Lake. Early in life, he was educated at schools in Pennsylvania, Woodbury, and New York City. Lived in Genesinguhta near the Allegany River around 1798. Occasionally served as official interpreter, guide, and witness to treaties, such as the Treaty of Big Tree. He spoke out against Handsome Lake, particularly after the withcraft trial at Cold Spring in 1809. Served as a major for the United States in the War of 1812.",Birth date is approximate.,"The Hatchet and the Plow: The Life and Times of Chief Cornplanter by By William W. Betts, Jr. (2010);Death and Rebirth of Seneca",Son of cornp2,,
done,abram1,,Abram,,,Abram,,,,,,m,mahican;moravian,"Married to Katherine with daughters Rebekah and Mary; lived at Miami Rapids in 1793. Possibly related to Mahican Abraham, a Moravian convert, who with 90 peaceful Christian Delaware were massacred by American militia at Gnadenhutten, Ohio, in 1782. Visited Joseph Moore & Jacob Lindley in 1793.",,Cite,,,
done,eabra1,,Abrams,Eunice,,Eunice Abrams,,,,,,f,stockbridge,"Probably Eunice P. Abrams (1780-1845), wife of Alexander Abrams, who was born in Massachusetts and is buried in the Stockbridge cemetery in Calumet County, Wisconsin. Her maiden name was Quinney. Member of the Society of Females of New Stockbridge, signed letter to NYYM (1822). ",,Cite,,,
done,labra1,,Abrams,Lucy,,Lucy Abrams,,,,,,f,stockbridge,"Member of the Society of Females of New Stockbridge, signed 2 letters to NYYM.",,,,,
done,dadam1,http://id.loc.gov/authorities/names/n98090980,Adams,Daniel,,Daniel Adams,,,,,,m,mohawk;seneca;methodist,"Probably Daniel Adams, a Mohawk Methodist evangelist who was married to Electa Quinney, a Stockbridge woman. Daniel started a mission among the Oneida in Green Bay, Wisconsin, in 1832. Electa told Lang and Taylor that she had been educated for four years among Friends on Long Island. Daniel Adams spoke fluent English.",,"Report of a Visit to Some of the Tribes of Indians Located West of the ...
By John D. Lang, Samuel Taylor;The Methodist Experience in America by Russel E. Richey et.al.",,,
done,jadam1,,Adams,John,,John Adams,,,,,,m,wyandot,Signed a speech in Detroit in 1798.,,,,,
done,adams1,http://id.loc.gov/authorities/names/nr2001028258,Adams,Parmenio,,Parmenio Adams,,,,,,m,review;usag,Congressman from Genesee County. Witnessed the 1827 Remonstrance of Red Jacket.,,"Henry S. Manley (1892-1967) His Life and Writings by Joyce Manley Forney et.al., p.151. ; https://en.wikipedia.org/wiki/Parmenio_Adams",,,
done,sadam1,,Adams,Samuel,,Samuel Adams,,1773,1844,,marlb,m,friends;meetmarlb1,"Samuel Adams was a member of Marlborough Monthly Meeting in New York. He was born in 1773 and died in 1844. He was married to Anna Wright and had children Samuel C, Anna M, David & John, who were minors in 1829.",,Hazard,,,
done,haddi1,http://id.loc.gov/authorities/names/n82224424,Addington,Henry,,"Henry Addington, 1st Viscount Sidmouth",Lord Sidmouth;1st Viscount Sidmouth,1757,1844,,,m,brit,Minister for the Home Department; approved of Thomas Eddy's prison plan.,,"https://en.wikipedia.org/wiki/Henry_Addington,_1st_Viscount_Sidmouth",,,
done,jadds1,,Adds,Josiah,,Josiah Addis,Josiah Adds,,,,,m,review,Josiah Addis purchased a tavern in Buckingham -- today known as the General Greene Inn -- in 1797 and sold it in 1805.,Correct spelling of name given in citation.,http://www.ednasantiqueshop.com/General%20Greene%20Inn%20History.htm;,,,
done,jadlum1,http://id.loc.gov/authorities/names/n85308339,Adlum,John,,John Adlum,,1759,1836,york3,wash,m,penngov,"Surveyor and Pennsylvania Commissioner, friend of Cornplanter. A native of York, Pennsylvania. Married to Margaret K. Adlum. Moved to Washington DC in 1814. Father of American viticulture, discoverer and promoter of the Catawba wine grape. Bearer of correspondence between Quakers and Cornplanter.",,"The Hatchet and the Plow: The Life and Times of Chief Cornplanter, By William W. Betts, Jr.; https://en.wikipedia.org/wiki/John_Adlum",,,
,lagn1,,Agnew,James,Tanner,Jammes Tanner L'Agneau,James Tanner Agnew,1719,1777,engl,germa,m,brit,British Army General who died at battle of Germantown during Revolutionary War,,https://en.wikipedia.org/wiki/James_Agnew_(British_Army_officer),,,
done,naldr1,,Aldridge,Nathaniel,,Nathaniel Aldridge,,,,,,m,review;meetfarmi,"Lived near Genesee Village and Mud-Creek. Many members of the Aldrich family were Quakers in upstate NY. A Nathan Aldrich acknowledged at Farmington in 1815, with minute from Smithfield; later disowned by Farmington in 1824. Visited by Joshua Evans in 1796.",,Hazard,,,
done,alexa1,,Alexander,,,Alexander,,,,,,m,review,"Storekeeper in upstate New York in 1805, probably near Albany.",,,,,
done,aalle1,,Allen,Adam,,Adam Allen,,1773,1844,,,m,friends;galwamm;eastmeet,Probably the same Adam Allen who was the son of Joseph and Hannah Allen. He married Martha Buddington in 1818 and Phebe Dean Baker in 1829. Member of Easton and Galway Monthly Meetings. His death at the age of 71 y 11 m 14 d in 1844 is recorded in Easton Monthly meeting.,,Hazard,,,
done,halle1,,Allen,Humphrey,,Humphrey Allen,Umphrey Alden,,,,,m,friends;galwamm,"Son of Benjamin & Nancy Allen. Married Jane Rushmore dt of Thomas & Abigail, in Rensselaerville in1825. Member of Galway Monthly Meeting.",Also referred to in journals as Umphrey Alden. ,Hazard,Husband of jalle1.,,
