x,name,county,state,Notes,Type,Alternate,Date,Latitude (N),Longitude (W),,,
aber,Aberdeen,,Scotland,,placeName,,,,,,,
abing,Abington,Montgomery,Pennsylvania,,,,,,,,,
adolph,Adolphus Town,,Ontario,,placeName,,,,,,,
afri,Africa,,,,placeName,,,,,,,
alban,Albany,,New York,,placeName,,,42.6526,73.7562,,,
albanc,Albany County,,New York,,placeName,,,,,,,
alexa,Alexandria,,Virginia,,placeName,,,38.804838,77.046921,,,
allam,Allamuchy Mountain,,New Jersey,,geogName,,,40.925957,74.752522,,,
alleg1,Allegheny,,Pennsylvania,,,Allegany,,41.85217,77.90532,,,
allem,Allegheny Mountain,,Pennsylvania,one mountain in  Allegheny Mountains,geogName,Great Allegheny,,40°3′29, 78°45′29,,,
allmo,Allegheny Mountains,,,,geogName,Allegheny Mountain,,,,,,
alleg2,Allegheny Reservation,,New York,,placeName,,,42.15818,78.75017,,,
alleg,Allegheny River,,Pennsylvania,"325 Miles long from Allegany Township, PA to Ohio River near at Pittsburgh, PA",geogName,Alleghany River,,41.88183,78.95393,,,
allen,Allentown,,New Jersey?,near Burlington,placeName,,,,,,,
amawa,Amawalk,,New York,"Located in Somers, NY",placeName,Amawock,,,,,,
amboy,Amboy,,New York,,placeName,,,,,,,
amesb,Amesbury,,Vermont,,placeName,Almsbury,,,,,,
amst,Amsterdam,,,,placeName,,,,,,,
annap,Annapolis,,Canada,,placeName,,,44.4433,65.3045,,,
annap1,Annapolis,,Maryland,,placeName,,,,,,,
annri,Annapolis River,,Canada,,geogName,,,,,,,
antho,Anthony's Nose (Mountain),,New York,,geogname,,,,,,,
apoqu,Apoquague Meeting House,,New York,"in Beekman, NY",placeName,,,41.619713,73.663261,,,
apple,Apple Boom Harbor,,,,placeName,,,,,,,
arkansas,Arkansas,,,,placeName,,,,,,,
arkan,Arkansas River,,,,geogname,,,,,,,
armst,Armstrong Creek,,Pennsylvania,,geogName,,,,,,,
athen,Athens,,,,placeName,,,,,,,
atsio,Atsion,,New Jersey,,placeName,,,,,,,
augl,"Auglaize (River, Creek, Lake?",,Ohio,,geogName,,,,,,,
augus,Augusta,,New York,,placeName,,,,,,,
avers,Aversa,,Italy,,placeName,,,,,,,
avond,Avondale,,Pennsylvania,,placeName,,,39.823443,75.78327,,,
backr,Backbone Ridge,,,,geogName,,,,,,,
balan,Balania,,,,placeName,,,,,,,
balde,Bald Eagle Creek,,Pennsylvania,"Enters the West Branch at Lockhaven, Clinton County",geogName,,,,,,,
balti,Baltimore,,New York,"Greene County, may be a different Baltimore, NY",placeName,New Baltimore,,42.446194,73.78866,,,
balti1,Baltimore,,Maryland,,placeName,,,39.290385,76.612189,,,
baltc,Baltimore Creek,,New York,,geogName,,,,,,,
bnewf,Banks of Newfoundland,,,,placeName,,,,,,,
barbour,Barboursville,,Virginia,,,,,,,,,
barne,Barnegat,,New Jersey,,placeName,,,,,,,
basin,Basin Harbor,,Vermont,,placeName,,,44.194476,73.358619,,,
bassi,Bass Islands,,,,geogName,,,,,,,
batav,Batavia,,New York,Near Tonawanda Creek,placeName,,,42.998116,78.187517,,,
bath,Bath,,New York,,placeName,,,42.337,77.3177,,,
cantb,Bay of Canton,,,,geogName,,,,,,,
fundy,Bay of Fundy,,Canada,,geogName,,,45.185909,65.253296,,,
baypo,Bay Point,,Ohio,between Maumee Bay and Lake Erie,placeName,,,,,,,
beach,Beach Springs,,North Carolina,,placeName,,,,,,,
beart,Bear Tavern,,New Jersey,,placeName,,,40.30251,74.84818,,,
beath,Beathe's Ordinary,,,,placeName,,,,,,,
beave,Beaver Creek,,,,geogName,,,,,,,
